2019-03-06 11:07:41,447 org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver [http-nio-8081-exec-1] (AbstractHandlerExceptionResolver.java:140) WARN  --> Resolved [net.sf.json.JSONException: java.lang.NoSuchMethodException: Unknown property '0']
2019-03-06 11:10:41,060 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-3] (BusinessAreaController.java:76) INFO  --> 接收前端或外围系统的json数据:{"ID":"area1"}
2019-03-06 11:10:41,063 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-3] (BusinessAreaController.java:103) INFO  --> 返回给前端的数据:{"errno":0,"error":"success","data":{"businessAreaList":[{"ID":"area1","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2","chaincodePackageName":"other name","chaincodePackageVersion":"v1.0.2","channelName":"other channel","comments":"some other comments","lastDeployedDateTime":"2019-02-26","name":"area-rename"}]}}
2019-03-06 11:10:46,755 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-4] (BusinessAreaController.java:121) INFO  --> 接收前端或外围系统的json数据:{"ID":"area1","name":"area-rename","channelName":"","chaincodePackageName":"other name111","chaincodePackageVersion":"v1.0.2","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2"}
2019-03-06 11:12:00,325 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-6] (BusinessAreaController.java:76) INFO  --> 接收前端或外围系统的json数据:{"ID":"area1"}
2019-03-06 11:12:00,327 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-6] (BusinessAreaController.java:103) INFO  --> 返回给前端的数据:{"errno":0,"error":"success","data":{"businessAreaList":[{"ID":"area1","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2","chaincodePackageName":"other name111","chaincodePackageVersion":"v1.0.2","channelName":"","comments":"some other comments","lastDeployedDateTime":"2019-02-26","name":"area-rename"}]}}
2019-03-06 11:12:05,256 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-7] (BusinessAreaController.java:121) INFO  --> 接收前端或外围系统的json数据:{"ID":"area1","name":"area-rename","channelName":"","chaincodePackageName":"other name","chaincodePackageVersion":"v1.0.2","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2"}
2019-03-06 11:12:35,458 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-8] (BusinessAreaController.java:76) INFO  --> 接收前端或外围系统的json数据:{"ID":"area1"}
2019-03-06 11:12:35,460 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-8] (BusinessAreaController.java:103) INFO  --> 返回给前端的数据:{"errno":0,"error":"success","data":{"businessAreaList":[{"ID":"area1","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2","chaincodePackageName":"other name","chaincodePackageVersion":"v1.0.2","channelName":"","comments":"some other comments","lastDeployedDateTime":"2019-02-26","name":"area-rename"}]}}
2019-03-06 11:12:40,568 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-10] (BusinessAreaController.java:121) INFO  --> 接收前端或外围系统的json数据:{"ID":"area1","name":"area-rename","channelName":"","chaincodePackageName":"other name111","chaincodePackageVersion":"v1.0.2","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2"}
2019-03-06 11:12:46,042 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-9] (BusinessAreaController.java:76) INFO  --> 接收前端或外围系统的json数据:{"ID":"area1"}
2019-03-06 11:12:46,044 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-9] (BusinessAreaController.java:103) INFO  --> 返回给前端的数据:{"errno":0,"error":"success","data":{"businessAreaList":[{"ID":"area1","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2","chaincodePackageName":"other name111","chaincodePackageVersion":"v1.0.2","channelName":"","comments":"some other comments","lastDeployedDateTime":"2019-02-26","name":"area-rename"}]}}
2019-03-06 11:12:49,870 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-1] (BusinessAreaController.java:121) INFO  --> 接收前端或外围系统的json数据:{"ID":"area1","name":"area-rename","channelName":"","chaincodePackageName":"other name","chaincodePackageVersion":"v1.0.2","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2"}
2019-03-06 11:14:14,222 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-3] (BusinessAreaController.java:76) INFO  --> 接收前端或外围系统的json数据:{"ID":"","name":"","comments":""}
2019-03-06 11:14:14,224 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-3] (BusinessAreaController.java:103) INFO  --> 返回给前端的数据:{"errno":0,"error":"success","data":{"businessAreaList":[{"ID":"area1","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2","chaincodePackageName":"other name","chaincodePackageVersion":"v1.0.2","channelName":"","comments":"some other comments","lastDeployedDateTime":"2019-02-26","name":"area-rename"},{"ID":"area2","chaincodeDeployedName":"name2","chaincodeDeployedVersion":"v1.0.1","chaincodePackageName":"name2","chaincodePackageVersion":"v1.0.1","channelName":"channel2","comments":"some comment","lastDeployedDateTime":"2019-02-27","name":"area2"}]}}
2019-03-06 11:14:19,460 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-4] (BusinessAreaController.java:76) INFO  --> 接收前端或外围系统的json数据:{"ID":"","name":"","comments":""}
2019-03-06 11:14:19,462 com.enn.commodity.synergistic.controller.BusinessAreaController [http-nio-8081-exec-4] (BusinessAreaController.java:103) INFO  --> 返回给前端的数据:{"errno":0,"error":"success","data":{"businessAreaList":[{"ID":"area1","chaincodeDeployedName":"name1","chaincodeDeployedVersion":"v1.0.2","chaincodePackageName":"other name","chaincodePackageVersion":"v1.0.2","channelName":"","comments":"some other comments","lastDeployedDateTime":"2019-02-26","name":"area-rename"},{"ID":"area2","chaincodeDeployedName":"name2","chaincodeDeployedVersion":"v1.0.1","chaincodePackageName":"name2","chaincodePackageVersion":"v1.0.1","channelName":"channel2","comments":"some comment","lastDeployedDateTime":"2019-02-27","name":"area2"}]}}
